"TIV of arms exports from USSR, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Iran,,,,,,,,,,,,,,,,,,121,121,,13,13,,,,,,740,740,,,,,,,,113,97,90,90,346,957,,,,,,,,,,,,,,,,3441
,Iraq,,,,,,,,,126,162,162,115,267,114,298,171,280,314,331,376,122,153,596,1821,1446,999,1060,957,1780,1098,1653,1451,1656,1507,2499,2292,2602,2634,1113,1260,526,,,,,,,,,,,,,,,,,31941
,Israel/PLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,24
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,310,98,,226,31,19,19,,,,,,,,,,,,,,,,,,1005
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,34,214,,,,57,188,,,,,,,,,,,,,,,,,515
,Laos,,,,,,,,,,,,,,,,,,2,,,,,,,,14,16,134,23,,35,54,1,90,24,60,,17,17,,,,,,,,,,,,,,,,,,,487
,Laos/Pathet Lao,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Lebanon,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,9
,Libya,,,,,,,,,,,,,,,,,,,,,90,84,46,47,1329,1682,2062,2727,3776,3201,2783,2783,1921,435,292,474,274,155,9,502,7,,,,,,,,,,,,,,,,,24679
,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,38,,,7,,1,,,,,,,,,,,,,,,,,,,,,,89
,Mali,,,,,,,,,,,,1,8,4,,,,11,,,15,,,,,2,62,,,,,69,21,6,1,,,,,,,,,,,,,,,,,,,,,,,200
,Mauritania,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,30
,Mongolia,,8,32,8,3,10,,47,12,,23,73,100,98,122,115,114,62,15,15,15,13,8,58,76,189,24,24,69,51,40,52,132,102,98,98,,,33,,,,,,,,,,,,,,,,,,,1939
,Morocco,,,,,,,,,,,,28,56,,,,,52,52,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,189
,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,488,109,47,39,61,56,92,70,1,,,,,,,,,,,,,,,,,,,,,1109
,Myanmar (Burma),,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,36,44,169,74,97,228,60,29,98,,,,,,,,,,,,,,,,,866
,Nigeria,,,,,,,,,,,,,,,,,46,9,3,12,,,,,,345,4,6,2,,210,25,,,,,12,12,,,,,,,,,,,,,,,,,,,,686
,North Korea,849,334,185,676,212,351,441,385,417,274,196,71,198,211,183,113,924,769,1333,788,745,1392,417,375,524,332,267,244,244,160,51,79,115,399,173,1159,1016,698,701,690,569,61,,,,,,,,,,,,,,,,19321
,North Yemen,,,,,,,,17,25,8,,21,,,,,,39,44,14,,,,,,,,,,290,672,126,45,9,88,94,,,88,,,,,,,,,,,,,,,,,,,1580
,Pakistan,,,,,,,,,,,,,,,,,,,196,80,24,,,,,,,,,,,,,,30,36,,,,,,,,,,,,,,,,,,,,,,366
,Peru,,,,,,,,,,,,,,,,,,,,,7,,,26,292,323,41,653,535,76,154,325,,100,5,139,68,105,74,,95,,,,,,,,,,,,,,,,,3018
,Poland,80,449,777,1003,1992,1085,699,1412,1365,1288,853,861,704,1030,1558,1189,954,723,831,942,959,913,879,1127,1089,1018,810,849,1028,975,1001,958,870,423,395,853,1339,994,921,492,223,49,9,,9,9,,,,,,,,,,,,37987
,Romania,6,76,428,883,624,356,424,170,98,93,185,19,192,212,403,528,431,457,600,401,539,438,472,471,579,594,210,264,207,577,479,378,359,134,125,216,350,110,73,175,504,25,,,,,,,,,,,,,,,,13865
,Saharawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Serbia & Mont.,,,,,,,,24,,,11,54,391,601,473,641,477,640,486,610,712,542,231,83,81,267,425,313,74,754,637,501,605,259,135,238,251,268,480,372,224,123,,,,,,,,,,,,,,,,11983
,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,10,,,,,,,,,,,,,,,,,,,,,14
,Somalia,,,,,,,,,,,,,,11,,29,50,74,,,,,21,192,321,87,174,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983
,South Africa/ANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
,South Vietnam/Viet Cong,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
