"TIV of arms exports from China, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,10
,Pakistan,,,,,,,,,,,,,,,2,121,428,20,25,15,89,410,532,122,174,108,154,23,326,242,256,264,89,433,302,135,79,433,134,312,313,283,150,642,282,211,130,104,102,85,64,295,282,256,78,79,164,8748
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,10
,Romania,,,,,,,,,,,,,,,,,,,,,,29,20,56,112,66,66,66,44,58,44,44,44,36,,,,,24,24,24,,,,,,,,,,,,,,,,,757
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,857,,,,,,,,,,,,,,,,,,,1714
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,20,,,,,,,,,,8,,,,,,,,,,58
,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,7,,,,,,,,,,,,,,,,,,,,,,,,,175
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,20,,,,,,3,49,,3,,95,20,,23,8,39,,47,18,2,14,,,10,10,10,421
,Sudan,,,,,,,,,,,,,,,,,,,6,6,116,21,74,21,,,,,7,,,102,,,,,27,54,,7,,46,6,,,,,66,,,,,,20,,,14,593
,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,4
