"TIV of arms exports from Spain, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,8,,,,,,,,,,,,,,,,20
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,82,,,,,,,,,,,,,98
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,3,,,,,,,,,,,,,,,,,11
,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,471,,,,,,,,,,483
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,25,49,49,74,74,82,74,,,,103,52,,,,584
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,15
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,2,,,,,,,,,,,,,,,,21
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,11,4,8,,,,,,,,,,,,,,,,17,59
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,10,,,,,,,,,,,,8,,,,,,,,,34
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,23,,,,4,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,0,0,0,0,4,14,18,18,21,35,35,21,21,18,70,140,4,4,84,264,45,25,38,22,11,131,309,249,260,73,136,136,151,227,116,101,78,101,203,82,114,639,164,30,45,7,119,159,73,116,803,
