"TIV of arms exports from Switzerland, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,,30,30,,,,,,,,,,,,,,,,,,,150
,Peru,,,,,,,,,,,,,,,,,,,,2,,6,6,6,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,,,62
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,8,,,1,10,13,,3,20,6,,,,,,,,,,95
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,42,46,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,148
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,11,,,,,,,,20
,Somalia,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,South Africa,,,,,,,,,,,,,,,,98,102,98,,,,,,,,,,,,,,,,,,,,,,,3,6,,7,12,24,24,2,,,,,,,,,,376
,Spain,,,,,,,,,,,,,,,,,,,,,,,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,174
,Sudan,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
,Sweden,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,2,,,,,40
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,14,14,,,,,,14,8,,,,,,,,59
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,17
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,2,8,,,2,,,,,,,,,,,,,,,14,,,40
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
,USA,,,,,,,,,,,,,1,1,4,4,6,4,,,3,6,4,,,,,,2,2,,,,,,,,,,30,30,,,,,,,,,1,18,56,70,97,105,132,105,681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,0,0,0,19,107,185,206,186,24,178,193,191,34,25,14,20,105,99,51,52,30,15,23,56,102,174,92,103,116,43,53,84,119,90,187,223,192,55,13,36,72,67,43,81,104,121,110,140,201,166,144,
