"TIV of arms exports from USA, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,68,,,,,,75
,Cuba,,7,0,0,3,11,20,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,Cuba/Anti-Castro rebels,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,4,,,,,,,,,,11
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,28,18,,44,14,151
,Denmark,9,30,356,410,25,47,60,63,53,275,173,322,30,115,301,264,11,20,37,4,26,14,9,,33,87,57,59,105,4,348,392,398,218,106,114,,83,89,84,3,15,20,8,51,26,38,77,89,42,34,36,12,8,137,27,40,5494
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
,Dominican Republic,2,8,10,21,2,,,1,2,2,10,9,,7,4,10,3,2,,,1,2,7,0,,2,12,,,,8,5,29,,5,3,3,,2,,,,,,,,4,,6,2,,1,0,3,27,,,215
,DRC (Zaire),,,,,,,,,,,,9,5,24,70,16,0,,,,,72,,,,94,2,30,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,347
,Ecuador,,,,11,,,5,,8,,58,,,4,2,23,,15,4,1,5,3,,3,2,6,40,91,22,5,128,6,12,14,39,9,,15,13,4,7,29,,18,,,,,6,,,,,,2,2,,612
,Egypt,23,0,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,,322,386,880,1378,1002,365,405,945,1118,238,167,436,861,1010,1018,1742,1658,788,909,522,461,823,781,528,391,478,526,538,20867
,El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,17,6,9,1,,,9,,10,8,1,1,6,5,27,11,59,42,4,,,,,18,3,,,3,3,,2,,,,16,9,,,,291
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,14,,,,19
,Ethiopia,,,,6,,,1,5,10,6,16,6,15,1,3,6,76,25,33,1,45,38,2,,10,37,103,21,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,503
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,19,1,3,,,,1,,,,72,72,,150,343,391,547,792,509,,7,,,,,2919
,France,192,388,531,1006,954,1129,1040,589,885,626,214,192,171,97,1203,235,65,67,79,70,94,88,63,77,15,,,,,,,,,4,,,,84,88,126,37,929,317,28,5,1,,79,127,93,20,16,20,17,78,,14,12153
,Gabon,,,,,,,,,,,,,,,,,,,,3,,,,,,34,29,28,1,,,32,5,,,,,,,,2,,,,,,,,,,,,,,,,,134
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,6
,Germany (FRG),,,,,,145,1173,1875,2344,876,1045,932,1373,2626,2871,2821,2567,1010,596,1023,1249,2426,564,1416,1455,1350,1031,329,10,18,64,130,171,164,200,44,233,291,359,565,667,702,960,881,496,192,131,61,157,90,90,118,46,23,105,97,,40162
,Ghana,,,,,,,,,,,,,,1,,,,1,,,,,8,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,7,,,,,,21
,Greece,30,438,372,78,95,136,140,157,469,390,238,77,345,72,575,539,192,237,73,215,107,305,164,187,417,711,1144,489,528,235,167,141,58,53,66,46,75,28,123,764,764,342,1415,400,195,526,105,634,980,295,262,211,281,1527,797,74,49,19533
