"TIV of arms exports from Canada, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Israel,,0,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Italy,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,24
,Jamaica,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,4
,Kenya,,,,,,,,,,,,,,,1,17,1,,,,,,8,,,,,40,40,,,,,,,,26,26,,,18,,,,,,,,,,,,,,,,,177
,Kuwait,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Lebanon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Malaysia,,,,,,,,,,,,,,,,,15,19,19,50,11,,15,,,,,,,,,,1,13,12,,,,,,,,,,,,,,,,,5,,,,,,160
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Mexico,,,,,,,,,,,,15,,,,,,,,,,,,,,,5,,,1,50,11,5,5,,,16,13,4,4,3,2,1,,,,,,,,,,9,,,,1,145
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Myanmar (Burma),,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,,5,4,1,,,,,2,,,,2,,,,,,,,,,,,,,,,,19
,Netherlands,,,,,,,3,,,,,41,,,,,,,,,,,,,,,,,5,5,10,10,10,10,,,,,,6,,,,,,8,28,2,,,,,,,,,,138
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,32
,Nigeria,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,7
,North Yemen,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Norway,,,,,,6,57,,,,,,,,,,,11,,,,,,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
,Oman,,,,,,,,,,,,,,,,,,,,,11,,,8,,,,,,13,,13,,13,,,,,,,,,,,,,,,,,6,1,,,,,,65
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,8
,Panama,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
,Peru,2,,,,,,,,,,9,,,,,1,7,,,,,115,115,7,,,,3,3,,,,,,,,5,26,,,,6,,,,,,,,,,,,,,,,299
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,3,5,5,,,5,,,,,,,,,,,,,26
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,,16
,Portugal,7,,,,23,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,12,,,,,,,,,,,,,,76
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,,,,52,53,44,44,47,22,19,18,15,4,4,4,13,,,357
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
,Serbia & Mont.,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,8,6,,,,,,6,8,4,,,,,,,,,,,,42
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,6
,South Africa,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,7,14,14,,,,,,,,,,,166
,South Korea,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,12,12,9,6,6,64
,Spain,,,,,,,,,,,,,,,,,,,23,23,,,,,24,24,,,,8,,,,,,,2,2,17,10,12,,,,5,5,,,2,,2,2,4,4,4,4,,177
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,40,50
,Syria,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,30,,,,,,,,,,,,,,68
,Tanzania,,,,,,,,,,,,,,,,1,13,,,,,12,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
,Thailand,3,,,,,,,,,,,1,,,,,,,8,,,,,,,,,,12,,,11,,,8,,,3,,,,6,6,2,4,,,,6,4,,,,,,,,74
,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Turkey,,,4,6,74,79,,27,68,,,,,,,,,,7,7,7,7,7,7,,,,,,,,,,,,,67,67,,,,,,,,,,,,,,,,,,,,434
,UAE,,,,,,,,,,,,,,,,,,,8,8,,4,,,,,,,53,,,,22,,,1,5,,,,,,,,,,,,,,,,,,,,,101
,Uganda,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,UK,,,1,5,5,5,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,28,64
,United Nations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Uruguay,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4
,USA,23,52,256,52,28,23,29,29,29,44,29,173,173,173,169,53,,,,,,,,,,,,,,1,,0,,6,21,26,44,45,26,2,,13,,7,57,132,,1,2,1,8,31,127,190,157,118,118,2468
,Venezuela,,,,11,,,,,,,,,,,,,,,,,,,58,,6,,,,,,,,11,,,,9,10,,,,,,,,,,,,,,,,,,,,105
,Zambia,,,,,,,,,,,,,,,,16,0,,,,,4,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,36,60,268,75,267,219,239,164,421,102,58,303,184,216,252,112,91,43,99,260,192,156,312,95,103,34,198,121,175,147,151,112,240,132,92,90,249,259,199,51,91,106,116,119,147,326,136,88,34,76,83,128,182,278,304,193,227,
