"TIV of arms exports from UK, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,France,,451,425,452,250,244,36,,,14,14,14,14,14,,6,45,33,48,48,45,30,15,,,,,,,12,,27,27,15,27,15,24,,12,,12,,,,,,,,,,20,,,,,,,2389
,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Germany (FRG),,,,,,,3,146,333,360,166,81,110,18,,3,63,116,128,63,60,60,105,90,60,10,,,,,,,40,40,40,,20,,64,61,8,8,8,8,8,8,3,,,60,45,,8,15,15,,,2434
,Ghana,,,,,,,,,,,12,15,21,3,30,25,11,,,,,,1,6,13,1,,,4,,,,,,,10,,1,,,1,1,,,1,,,,,,1,1,1,,,,,159
,Greece,6,6,,,,,15,16,,,,,,,,,,,4,,,,,,,,,,1,,,15,15,,,,,,,,,,30,,,,,15,,,22,22,,,100,50,50,367
,Guyana,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,,1,4,,,,,2,,,,,,,,,,,,,,,,,7,,,,,,19
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,13
,India,141,249,37,271,133,135,334,705,705,711,483,642,66,97,95,303,261,400,275,205,274,356,426,223,378,161,336,340,174,275,364,613,515,361,380,262,265,741,237,370,281,299,167,17,17,116,50,108,42,42,,,18,56,56,56,56,14680
,Indonesia,,,,,,,16,,3,3,39,84,8,,,,,,,,7,,,,,,,,,6,69,63,,48,29,220,231,148,1,1,,,30,14,14,29,207,52,73,143,75,,,,,,,1613
,Iran,,,,,,,,,,2,,,,,,,,74,,43,41,293,726,637,472,611,,52,229,152,,,,,135,52,,,,,,,,,,,,,,,,,,,,,,3519
,Iraq,,,58,48,19,94,79,,54,,,,,90,35,88,44,,,,,2,,,,,,,,,,,44,,,,7,10,7,,,,,,,,,,,,,,,,,5,,684
,Ireland,2,,,,,,8,,,,,,,,,,,,,,,9,,,,,,,,,14,6,,,,,4,,24,,,,,,,,,,2,,,,,,,,,69
,Israel,19,11,3,14,,18,129,,9,19,62,11,90,55,55,45,59,121,56,35,70,35,35,35,73,210,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389
,Italy,14,27,110,82,,96,118,211,,,,2,,,2,6,,15,6,,,9,9,9,2,,,,,3,9,9,10,10,7,7,7,7,,30,44,48,42,18,35,193,87,233,23,2,,,6,10,18,41,88,1705
,Jamaica,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Japan,,,,,,,,13,,,,,,,,,,,,,,,,,8,13,13,39,39,39,39,45,54,72,62,71,78,41,68,70,70,40,9,29,9,37,19,19,9,20,20,10,20,20,10,10,18,1133
,Jordan,0,,0,1,26,32,41,,44,3,24,13,53,36,33,37,15,38,16,116,11,19,11,53,53,0,1,,,,,149,113,176,113,113,,,14,25,,35,,,,,,,,18,83,116,119,159,21,,,1930
,Kenya,,,,,,,,,,,,,,,5,,,,1,3,,17,1,,29,18,1,1,0,28,68,86,48,7,7,,,125,,,8,8,,,,,,,,,,,,,,,,461
