"TIV of arms exports from Netherlands, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,44,,,5,69
,Nigeria,,,,,,,,,,,,,,,,85,,,,,,,55,,,,,,,,15,10,10,,,,14,,,,,,,,,,,,,,,,,,,,,189
,Norway,,,,,,,,,,,,,,5,,5,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,16,75,,,,,212
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,45
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,,18,9,,,,,,,,,82
,Peru,,,,,,,,,,,,,,,,,,,,,,,,110,,,65,189,57,,156,156,52,,,,,,23,,,,,,5,,,9,,,,,,,,,,822
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,21
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,15
,Portugal,,,,,57,,,,,,,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2,7,,,,,,,,,,,,,216,402
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,15,,,,,,,,,,59
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,231
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,25,5,,,,,,,,,,,,,,,,,,,,,,,,65
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Singapore,,,,,,,,,,,,,,,,,,,,,5,15,10,,10,5,5,,,,,,,,,,,,,,,,,23,48,40,,,,,,,,,,,,161
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,30,20,40,45,,10,57,27,,,44,29,21,,7,35,35,35,,,25,25,25,6,539
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,20,13,34,25,,13,13,,,,,,,,,,,9,,,,,,,,,,,,,137
,Sudan,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Sweden,,,,,,1,1,,22,3,,,16,1,15,1,15,15,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,104
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,260,27,27,27,27,,,,,,,,,,,,,,,588
,Thailand,,,,,,,,,,,,,,,,,,,,,,21,,23,21,,10,5,,10,5,,,45,83,,15,45,,,,,,8,9,28,,,,,,,,,,16,,344
,Turkey,,,,,,,,,,,,,34,34,,,,,,,,10,,,,,,5,5,5,63,58,63,58,,5,5,19,155,63,117,40,26,12,12,15,5,22,22,13,22,,,,,27,13,928
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,229,235,20,2,2,,,,,,508
,UK,,,,,,,,,,,,,,,,,,,,,,,10,,,10,19,,10,19,10,10,19,10,,29,,30,50,50,,,,,,,,,,,,,,10,10,,192,488
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,5,25,50,50,60,60,25,15,25,25,45,15,5,,,,,,,,,,,,,,,,420
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,,,,39,,,,,,,,3,,,,,,11,6,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,187,152,116,114,162,205,9,9,30,32,6,94,86,70,73,105,66,79,340,115,5,193,134,186,92,65,353,347,310,304,642,792,673,442,316,170,357,444,768,589,414,448,357,445,582,420,479,607,584,317,260,185,242,343,271,881,1481,
