"TIV of arms exports from all, 1950-2006"
"Generated: 29 October 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Finland,,,,,,,,,,,60,1,,,,1,86,33,33,33,2,43,30,,63,63,,,63,63,,,20,,,,,,1,,,8,3,8,14,20,8,10,23,19,9,12,18,23,21,25,31,847
,France,13,56,36,274,328,423,834,599,644,728,1071,1003,1081,1251,1435,1249,1697,1571,1819,1265,1686,2198,2390,2642,1934,2388,2219,2789,3186,3178,3436,3501,3630,3051,2889,3789,2943,1706,1772,2066,1609,966,1008,792,732,795,1763,3083,3336,1786,1027,1199,1312,1282,2687,2050,1557,97754
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,22,22,108,,7,,,188
,Germany (FRG),0,88,132,168,29,19,20,39,20,90,152,16,138,139,407,271,625,704,583,745,1423,1362,1335,200,1112,1384,1674,1847,1547,1401,1545,1834,1619,2315,2893,1314,1421,1112,1587,1250,1830,2544,1409,1560,2628,1459,1879,871,1752,1719,1621,825,899,1881,1001,1542,3858,63838
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Greece,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,10,,25,,18,30,8,1,,2,,8,32,13,23,179
,Guatemala,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Hungary,,,,,,,,5,,,,,,,,,18,18,39,30,,,8,44,8,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,,,,68,,339
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,5
,India,,,,,,,,,,0,,0,,,,,,,1,,,4,2,23,25,33,,,27,22,,,2,,,,,,1,,4,,1,7,2,2,,,,,16,2,0,4,22,4,11,215
,Indonesia,,,,,,,,,,,,,7,,,,,,,5,5,,,,,,,,8,,4,,,,,8,4,,,,,,,16,16,25,,8,,49,,16,49,,25,8,8,261
,Iran,,,,,,,,,,,,,3,,,,,28,,,23,5,106,6,123,84,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,3,0,1,0,9,406
,Iraq,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,28,,,,,,,,164,20,,,,,,,,,,,,,,,,,,215
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Israel,,,,,,39,,4,,23,,,,,7,10,14,13,31,26,13,19,26,18,49,121,62,200,202,181,246,194,227,382,253,176,379,98,45,180,69,83,86,124,78,113,217,229,191,128,346,337,407,356,548,259,287,7096
,Italy,126,107,23,,7,131,232,251,209,4,102,303,408,447,768,659,444,200,142,332,248,468,421,418,490,803,757,750,806,1527,1560,1695,1795,1204,1441,988,426,737,499,381,359,521,452,466,309,365,436,440,420,511,201,224,407,321,225,796,878,29640
,Japan,,,,,,104,40,112,5,41,,61,104,11,16,,5,,,29,,15,4,17,53,,,,10,56,165,,,45,30,74,96,,,15,30,68,126,153,162,158,188,32,,,,,,,,,,2025
,Jordan,,,,,,,,,,2,,,2,,,,,,,,,36,,22,22,50,,18,,,,,,76,,2,16,,7,16,,,,,77,,,6,,,,,,,42,15,13,422
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,2,180,16,9,,,5,,,249
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,24,,,,4,,,,,,,,,,,,,,99,,,,,,,,,130
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,92,,,,153
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,8
,Lebanon,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,45,,,,,47
,Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,25,4,,13,401,95,106,199,21,44,48,4,61,34,,36,,,,8,,,3,,,,,11,38,,,24,1175
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
,Malaysia,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,0,,,,8,,,,,,,,15
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10
,Mexico,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,36,,,226,,,3,5,,,,4,,286
,Morocco,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Netherlands,187,152,116,115,162,206,10,9,30,31,6,93,86,70,73,106,66,79,341,116,5,192,134,185,91,63,353,346,309,303,641,791,671,441,315,168,357,443,767,588,412,448,357,445,582,421,477,606,584,318,259,184,243,343,271,877,1481,17525
,New Zealand,,,,,,,,,,,,,,,,,,1,1,0,,,0,2,5,3,,,,,,1,2,,9,6,0,,,,,34,4,,3,,,10,,1,1,,1,,1,,,85
,Nicaragua,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,77,23,,5,,,,,,,,,,,,116
,Niger,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,9
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,5,5,148,246,86,55,63,220,192,14,4,207,229,202,52,52,35,14,2,21,13,77,45,13,13,,,2030
,North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3
,Norway,1,29,,10,,,,,,8,33,,,,51,11,29,86,4,10,,10,15,8,,12,12,12,93,165,165,286,72,35,,42,29,54,34,119,77,163,76,54,94,22,9,21,3,5,3,45,91,83,79,12,2,2274
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,1,,13
,Pakistan,,,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,15,30,30,,,,,,,0,91,2,,,1,,,,,,3,1,9,9,7,17,,223
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,4,,,5,,,59
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,7
,Poland,,,,,,,,,,28,3,3,6,85,191,190,256,262,239,279,223,227,228,159,229,284,384,350,280,196,181,311,184,89,60,85,259,217,258,20,75,69,49,,131,176,45,20,1,67,43,70,36,70,65,103,169,6955
,Portugal,,,,,,,,,,,,,,,,,,2,,,,3,,5,11,82,16,,8,3,2,,,1,,,1,,,98,,,,1,,,,,,,,,,,,,,233
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,52,,,37,,9,,,,,,,,135
,Romania,,,,,,,,,,,,,,,,,,,,,,6,9,9,1,,,,27,55,60,42,105,116,187,84,73,49,67,45,11,6,13,10,20,6,4,12,2,19,3,,,24,,,,1065
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648,3524,1517,3363,3709,3130,2023,3810,4138,5742,5655,5442,6485,6449,6623,64258
,Saudi Arabia,,,,,,0,,,,,,,,,,,,4,3,,,,2,,,,1,13,,,,22,,,3,8,,,,,,,,10,,,2,,,,,,,,,36,,104
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Serbia & Mont.,,,,,,,17,,75,,6,,,,15,31,,,,14,,21,,18,,9,31,35,43,23,98,75,25,84,84,19,5,2,6,18,63,499,24,,,,,2,,,,7,,,4,,5,1358
,Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,15,,,30,69,,5,,24,93,,,84,30,111,68,5,80,29,30,,0,86,42,10,10,,2,,66,3,,894
,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,10,91,54,54,10,151,92,73,44,,79,,,805
,South Africa,,,,,,,,,,6,68,68,,,,,,4,4,,3,5,12,1,2,18,16,0,,,39,39,1,,,48,48,50,50,0,,49,54,34,8,15,21,6,24,17,18,29,16,42,62,23,115,1015
,South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,106,106,105,53,,105,33,78,,51,46,72,113,,44,,21,62,60,72,,8,165,,114,20,39,89,1703
,South Vietnam,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,59
,Spain,,,,,,,,,,,4,14,18,18,21,35,35,21,21,18,70,140,4,4,84,264,46,25,38,22,11,130,307,249,260,73,135,137,151,227,116,100,78,101,204,82,114,638,164,30,46,7,120,158,73,116,803,5532
,Sudan,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,6
,Sweden,30,49,67,140,21,104,95,111,314,16,36,34,35,25,31,32,41,40,60,38,270,543,130,26,98,147,63,43,48,341,148,151,124,104,217,218,341,287,499,400,281,185,189,115,126,222,331,84,321,370,306,850,127,473,316,598,472,10883
,Switzerland,,,,,,,,,,19,107,185,206,186,23,177,191,189,33,24,13,19,104,98,51,52,30,15,22,55,102,173,92,103,116,43,52,83,119,89,188,223,191,54,13,36,72,66,43,82,104,120,109,139,201,166,144,4722
,Syria,,,,,,,,,,,,,,,,,,,,,14,,,,2,2,,0,,,,,177,46,2,29,31,,15,,,,40,40,,,0,0,,,,,,,,,3,401
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,1,,,,,,,,,,29,5,,,,,,2,5,,,,6,,,,,,202
